id,created,superceded_id,valid,classification_system,cell_type,pt_supervoxel_id,pt_root_id,pt_position
232,2023-11-12 21:06:37.735045+00:00,,t,intrinsic,18B,73188648107207865,648518346479650514,[ 34048 155360    460]
202,2023-11-11 02:14:08.264415+00:00,,t,intrinsic,t2_uk,73118211717313194,648518346504960134,[ 32736 152928   2498]
188,2023-11-11 01:33:53.554039+00:00,,t,mn,DVM_1a,72343193727152358,648518346492294527,[ 10168 123880   3051]
190,2023-11-11 01:33:53.555274+00:00,,t,local,6B,73258331468519918,648518346465967408,[ 35808 133880   3877]
191,2023-11-11 01:33:53.555884+00:00,,t,local,12A,72837080539273767,648518346481680287,[ 23488 162936   2856]
192,2023-11-11 01:33:53.556497+00:00,,t,local,3B,72554711202785497,648518346494056187,[ 15208 136880    963]
195,2023-11-11 01:33:53.558440+00:00,,t,local,3B,73188511473615167,648518346498080082,[ 33488 150616   2000]
180,2023-11-11 01:33:53.548799+00:00,,t,local,6A,72907311844587063,648518346482561172,[ 24632 157824   2887]
353,2023-11-15 07:14:02.033824+00:00,,t,intrinsic,5B,73190022563715784,648518346501475171,[ 33875 195310    527]
204,2023-11-11 02:14:08.265844+00:00,,t,mn,b1,73680200336249760,648518346498759408,[ 47520 124320   3907]
210,2023-11-11 02:48:12.678916+00:00,,t,local,12A,72766780514565052,648518346494445170,[ 21904 164568   2847]
160,2023-11-10 05:37:14.762235+00:00,,t,local,19B,73258604601678185,648518346489059057,[ 35752 143072    574]
206,2023-11-11 02:14:08.267147+00:00,,t,ascending,5B,73117731284991711,648518346489650124,[ 31640 137344   3664]
209,2023-11-11 02:48:12.678257+00:00,,t,local,19B,73540285803608225,648518346514102494,[ 44984 148688    680]
289,2023-11-13 05:23:56.922706+00:00,,t,ascending,t3_uk,74104610079700191,648518346486507168,[ 60616 189960    539]
211,2023-11-11 02:48:12.679588+00:00,,t,local,6B,73328837651736856,648518346495729995,[ 37424 138760   3895]
212,2023-11-11 02:48:12.680256+00:00,,t,local,3B,72484411312279686,648518346488957197,[ 13312 138520   1209]
213,2023-11-11 02:48:12.681030+00:00,,t,local,2A,73047018809210886,648518346484500995,[ 29488 127408   3432]
214,2023-11-11 02:48:12.681658+00:00,,t,intrinsic,17A,72554298818938967,648518346489877209,[ 15448 124128    898]
215,2023-11-11 02:48:12.682285+00:00,,t,local,2A,72976650132224990,648518346486488241,[ 27832 126976   3562]
342,2023-11-15 06:13:58.251731+00:00,,t,intrinsic,23B,73118897905593889,648518346489859197,[ 32054 172636    626]
219,2023-11-11 02:48:12.684798+00:00,,t,local,3B,72484342458637066,648518346482668585,[ 13704 137128    981]
